CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
700000000,56,3,40,3,4,4,5524.540572830659,779.9726016810132,1923.0484981208867,1.3394113749299221,9216.167670276527,140,0.32470139315496294,0.9699098521619943,0.9664885281600843,0.04246782213565523,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
700000001,75,5,55,1,0,2,18743.733946949003,697.4693032602091,7657.543889112845,0.7396342119524301,7113.014771147021,60,0.7589543895205952,0.9832308858067882,0.893352578649596,0.17198808134726412,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
700000002,42,3,25,2,1,0,1463.0213143862115,1154.469128110745,6405.123917637287,1.11991622259055,9344.951537848003,17,0.34126622533826206,0.9093204020787821,0.8517559963200034,0.1325044568707964,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
700000003,21,5,40,2,1,3,28245.469305361483,4474.136752138244,15148.549480871587,1.4062490820277402,1783.1412797528328,49,1.3134406184137817,0.7473201101373809,0.907938426477816,0.11735023313276965,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
700000004,58,4,26,5,0,0,29619.721161415,3861.223846483287,5368.534197587224,0.3066265405483229,12324.190712595095,90,1.15361034329838,0.7901755405312056,0.9211919949562023,0.1852601757026698,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
700000005,29,1,44,6,4,2,18147.635843524087,1373.6089649503208,14250.463933268678,0.7595122497045478,14589.825383142004,140,1.2129420583402768,0.5612771975694962,0.9541934359909122,0.09875911927287816,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
700000006,77,4,43,1,3,4,15748.55004377638,4537.832369630465,6607.6596141474365,0.7924595076427556,11455.491508874205,45,1.4314242846695773,0.598865466488536,0.9389569866079409,0.17609356780305155,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
700000007,23,3,39,4,3,3,26884.210956209354,2696.7112095782536,20282.283801519534,1.375309559908192,5111.0503870920265,138,0.57352219505033,0.4271077886262563,0.9636029531844986,0.1721461166512687,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
700000008,79,4,44,3,1,3,8079.640145185451,841.4552108646528,5859.723379540221,0.9697224024208093,6355.624480341592,71,1.4661384992651527,0.9624472949421112,0.8503564591650729,0.0994497011784771,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
700000009,66,1,13,4,5,6,9080.747462861731,4541.3294298332685,6369.266321340824,0.4738738465094677,7597.065024024664,77,0.3970239915992583,0.36965445606140446,0.8484319876554852,0.16062795127597917,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
